file	status	count	byteOffsets	text
areas.bytes	REVIEW	1	16516	Pretty mansions of stone and glass rise above the verdant gardens, while below, machines whirr and groan. A persistent sound of hammering pounds through the air.\s\s
areas.bytes	REVIEW	1	22015	The head offices of a lumber concern that imports bronzewood from the Reach.
bargains.bytes	REVIEW	1	8566	\"Chorister-nectar! Going cheap!\"
bargains.bytes	REVIEW	1	4582	\"Crockery for sale! Nearly new! Cups! Saucers! Gravy boats!\"
bargains.bytes	REVIEW	1	19295	\"Fresh from the gardens of the Reach! -\s
bargains.bytes	REVIEW	1	18313	\"Fresh from the gardens of the Reach!\" This green-thumbed captain buys crops for a pittance from the region's scattered farmsteads, then sells the yield at larger ports.
bargains.bytes	REVIEW	1	20417	\"Fresh hours! Get your fresh hours here!\"
bargains.bytes	REVIEW	1	124380	\"Grandmother doesn't want these ones...
bargains.bytes	REVIEW	1	123119	\"Grandmother doesn't want these ones.\" One of the Widows, a cadaverous woman, holds a knot of sorrow-spiders in her arms. They have been woven intricately together: a braid of jointed legs and faceted eyes. She thrusts it towards you. \"You may purchase them.\"
bargains.bytes	REVIEW	1	10910	\"Tea for sale! Buy tea! Everyone likes tea! Please?\"
bargains.bytes	REVIEW	1	101099	\"Wordsworth? Keats? Whitman? Amateurs!\" The Snivelling Spirifer wipes his nose. \"Friends, here are the souls of true poets, who learned pentameter in Pan and alliteration in Achlys! Perfect for budding writers! An unparalleled conversation-starter! A paperweight! A doorstep!\" You can't verify whether they come from poets, of course, but the souls seem to be of very high quality indeed.
bargains.bytes	REVIEW	1	45289	A Bashful Showman is selling tall panes of coloured glass. \"We had to dismantle the Maze of Mirrors,\" he explains. \"Following a number of... well, 'disappearances' is a very strong word, isn't it? Anyway, as long as you keep them away from silver, they should be entirely safe.\"\r\n
bargains.bytes	REVIEW	1	46346	A Bashful Showman is selling tall panes of coloured glass...
bargains.bytes	REVIEW	1	19413	A Buoyant Broker sells barrels full of geode-like hours.\"'Dug fresh from the shapely flanks of the Mother of Mountains by rugged but well-mannered prospectors!\" He cries. \"Put 'em to your ears, m'dears, and hear 'em call.\"
bargains.bytes	REVIEW	1	95060	A drunken expedition of partygoers has returned from the furthest corridors of the house with salvaged curtains and tapestries. They are keen to find a buyer:  steps like this have to be taken if Langley House's wine-cellars are to be kept stocked.
bargains.bytes	REVIEW	1	96009	A drunken expedition of partygoers has returned from the furthest corridors of the house with salvaged curtains and tapestries...
bargains.bytes	REVIEW	1	97343	A Dubious Fence has an offer for you: several casks of Navaratine gemstones for an exceptional price. This must have been a month's work for a whole gang of burglars.
bargains.bytes	REVIEW	1	98374	A Dubious Fence has an offer for you: several casks of Navaratine gemstones for an exceptional price...
bargains.bytes	REVIEW	1	78867	A fellow skyfarer in urgent need of money for repairs offers sparkling Navaratine Gemstones looted from the Curator that damaged his locomotive.
bargains.bytes	REVIEW	1	79776	A fellow skyfarer in urgent need of money for repairs offers sparkling Navaratine Gemstones looted from the Curator that damaged his locomotive...
bargains.bytes	REVIEW	1	113917	A gloomy spirit sells folds of black cloth...
bargains.bytes	REVIEW	1	124458	A many-legged spirit paws at your arm and pulls you towards a trove of hours it has piled in a ditch. These are hours shed by spirits intending to pass through Death's Door. Their quality is as good as any dug from a sky-rock, or from the Mother of Mountains.
bargains.bytes	REVIEW	1	125414	A many-legged spirit paws at your arm and pulls you towards a trove of hours it has piled in a ditch...
bargains.bytes	REVIEW	1	102396	A Poetical Prospector is selling barrels of hours to an interested crowd of Bohemians. \"Hours of melancholy, hours of wonder! Hours of optimism and tragedy! Buy a barrel, and spin yourself a day of your choosing! Inspiration is only an hour away!\" Yes – you're not sure it quite works like that, but the price is a good one.
bargains.bytes	REVIEW	1	103520	A Poetical Prospector is selling barrels of hours to an interested crowd of Bohemians...
bargains.bytes	REVIEW	1	47596	A prominent and tedious poet offers copies of his latest epic to 'the right sort of person'. At 10,000 lines, it is a sequel to Spencer's 'Faerie Queen', depicting Her Enduring Majesty as a second Gloriana. There are few reviews – no one has thus far managed to remain conscious to the end.
bargains.bytes	REVIEW	1	48643	A prominent and tedious poet offers copies of his latest epic to 'the right sort of person'...
bargains.bytes	REVIEW	1	82132	A Ragged Revolutionary shows you three crates of mixed munitions, some of which look distressingly home-made. He is selling them cheaply; today, he needs money more than murder.
bargains.bytes	REVIEW	1	82989	A Ragged Revolutionary shows you three crates of mixed munitions, some of which look distressingly home-made...
bargains.bytes	REVIEW	1	55974	A recent by-law pushed through by the Restorationists' Committee has outlawed the drinking of tea in Parliament, on the grounds that it is 'an undemocratic and imperialist beverage'. Port has been recommended instead. The law will no doubt be overturned soon, but for now it creates an opportunity.
bargains.bytes	REVIEW	1	56828	A recent by-law pushed through by the Restorationists' Committee has outlawed the drinking of tea in Parliament, on the grounds that it is 'an undemocratic and imperialist beverage'...
bargains.bytes	REVIEW	1	79979	A scrap merchant is selling off plating from a wrecked locomotive. A plaque on one of the larger plates reads GUINEVERE. \"Her lights failed,\" the scrap merchant explains. \"So she crashed. One of Eleutheria's little tricks.\"
bargains.bytes	REVIEW	1	80912	A scrap merchant is selling off plating from a wrecked locomotive...
bargains.bytes	REVIEW	1	96180	A 'spirifer' is an unlicensed trader in souls. It is not a popular profession. Recently, a spirifer was the victim of a fatal case of seller's regret. He left behind an impressive stash, which his associates are now trying to dispose of quickly.
bargains.bytes	REVIEW	1	97252	A 'spirifer' is an unlicensed trader in souls...
bargains.bytes	REVIEW	1	114005	A theologian who travelled here from London is selling his bibles, his prayer-books, and his hymnals. Having witnessed the afterlife firsthand, he has come to regard them as works of naive fiction.
bargains.bytes	REVIEW	1	114957	A theologian who travelled here from London is selling his bibles, his prayer-books, and his hymnals...
bargains.bytes	REVIEW	1	116363	A visiting London aristocrat has become besotted with the scale and splendour and sequence of the Blue Kingdom. He sees no point in delaying his return here as one of the dead, and is selling his pension of hours in order to accelerate his end.
bargains.bytes	REVIEW	1	117405	A visiting London aristocrat has become besotted with the scale and splendour and sequence of the Blue Kingdom...
bargains.bytes	REVIEW	1	99718	An Aristocratic Celestozoologist captures and studies the creatures of the High Wilderness. Now, he is selling some of his menagerie to fund his next hunting expedition. This time, he intents to hunt Grievers and Undeparted in Eleutheria.\s
bargains.bytes	REVIEW	1	100959	An Aristocratic Celestozoologist captures and studies the creatures of the High Wilderness...
bargains.bytes	REVIEW	1	98515	An Experimental Horticulturist is selling a mountain of seeds. Yes, she is very pleased with how well they turned out. No, she will not tell you what she treats her crops with\r\n
bargains.bytes	REVIEW	1	99606	An Experimental Horticulturist is selling a mountain of seeds...
bargains.bytes	REVIEW	1	668	bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo ...
bargains.bytes	REVIEW	1	21	bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo bloo
bargains.bytes	REVIEW	1	93960	Deep in the Achlean marsh lies a garden of beauty and poison. Braver traders visit it to gather seeds for the market. Those that cannot be turned into spice or incense, they sell at cost.
bargains.bytes	REVIEW	1	94960	Deep in the Achlean marsh lies a garden of beauty and poison...
bargains.bytes	REVIEW	1	58051	Engineers are clearing out a wing of Portsmouth House to make room for an exciting new experiment. While doing so, they unearthed a trove of Lord Rochester's poetry, written during his race around Pan. It substitutes volume for elegance, but readers are hungry for glimpses of the wild and unlikely wastes of Eleutheria.
bargains.bytes	REVIEW	1	59025	Engineers are clearing out a wing of Portsmouth House to make room for an exciting new experiment...
bargains.bytes	REVIEW	1	43920	He has been ejected from his choir following what the papers are only calling 'a recent Incident'. He will have no need of his nectar now, nor of its beneficial effects on his vocal range. If you give him the slightest chance, he will recount the details of his recent scandal bitterly, his melodious voice contrasting vividly with his profane language.
bargains.bytes	REVIEW	1	45112	He has been ejected from his choir following what the papers are only calling 'a recent Incident'...
bargains.bytes	REVIEW	1	117566	He moves in stuttering starts, like a rabbit who knows a dog is about. Some call him a grave-robber, but he prefers 'archaeologist'. He's in no hurry, he professes, none at all, to shift these gemstones. Of <i>course</i> they're from a legitimate source: he plundered the vault himself.
bargains.bytes	REVIEW	1	118717	He moves in stuttering starts, like a rabbit who knows a dog is about...
bargains.bytes	REVIEW	1	32616	Is it tea?
bargains.bytes	REVIEW	1	42636	Ravenscourt & Stamford make a healthy profit selling academic robes for graduation ceremonies. They insist that only light-drinking bombazine cloth is acceptable at such occasions. Bombazine is splendid but expensive, so there's a bustling second-hand market in used robes among impoverished scholars. One such secret market is taking place now.\s
bargains.bytes	REVIEW	1	43783	Ravenscourt & Stamford make a healthy profit selling academic robes for graduation ceremonies...
bargains.bytes	REVIEW	1	54966	Sable-liveried footmen are cutting up vast rolls of midnight fabric for sale. These are the cast offs from the Macabre Counsellor's latest tableaux, rejected for being insufficiently direful.
bargains.bytes	REVIEW	1	55857	Sable-liveried footmen are cutting up vast rolls of midnight fabric for sale...
bargains.bytes	REVIEW	1	120303	Some say that Navaratine gemstones are cooled sparks that once fell from the Forge of Souls during its heyday. The shades that watch over the Forge occasionally find a new trove of them glimmering among the mounds of ash and slag. One of the spirits, a Scorched Servitor, furtively sells handfuls of the gems in the shadow of the port's gate. It does not say what it wants with London currency.
bargains.bytes	REVIEW	1	121461	Some say that Navaratine gemstones are cooled sparks that once fell from the Forge of Souls during its heyday...
bargains.bytes	REVIEW	1	57068	The Acting Senior Probiter has raided the backrooms for unused consignments of Hours. \"The last thing anybody wants,\" he says, \"is to spend even more time here.\"
bargains.bytes	REVIEW	1	57926	The Acting Senior Probiter has raided the backrooms for unused consignments of Hours...
bargains.bytes	REVIEW	1	52603	The Dazzled Sequencer sells buckets full of armaments retrieved from Azimuth. \"Terrible hazard, all these instruments of lethality lying about the place. And most untidy. Keen to get them off the sun. Very keen.\"
bargains.bytes	REVIEW	1	53495	The Dazzled Sequencer sells buckets full of armaments retrieved from Azimuth...
bargains.bytes	REVIEW	1	125560	The Devil is pleased to have done great work at the Home Bureau. \"See what one can accomplish when one sees idleness as potential, London's detritus as opportunity, not waste, and tedium as the crucible of perfection.\" He offers a selection of scrupulously refined souls.
bargains.bytes	REVIEW	1	51401	The Governor has discovered a secret stash of hours that had been squirrelled away by a gang of refinery workers. He has seen fit to sell them on the open market, in order to raise funds for 'programmes to improve the moral character of inmates.'
bargains.bytes	REVIEW	1	52445	The Governor has discovered a secret stash of hours that had been squirrelled away by a gang of refinery workers...
bargains.bytes	REVIEW	1	48800	The hawker smiles a little too brightly. \"No hurry. Got all the time in the world, me.\" His eyes dart nervously about the station, as though anticipating the inclement hand of the law upon his shoulder at any minute. \"Brabazon's finest here!\"
bargains.bytes	REVIEW	1	49840	The hawker smiles a little too brightly...
